name,src,party,name_bn,seat_no,symbol,alliance,seat,district,division
Md. Aminul Islam,md_aminul_islam_bagerhat_1.jpg,AB Party,মোঃ আমিনুল ইসলাম,95,ঈগল,,Bagerhat-1,Bagerhat,Khulna
Kapil Krishna Mandal,kapil_krishna_mandal_bagerhat_1.jpg,BNP,কপিল কৃষ্ণ মন্ডল,95,ধানের শীষ,BNP,Bagerhat-1,Bagerhat,Khulna
A. Sabur Sheikh,a_sabur_sheikh_bagerhat_1.jpg,Bangladesh Muslim League,আঃ সবুর শেখ,95,হাত (পাঞ্জা),,Bagerhat-1,Bagerhat,Khulna
M. A. H. Selim,m_a_h_selim_bagerhat_1.jpg,Independent,এম এ এইচ সেলিম,95,ঘোড়া,,Bagerhat-1,Bagerhat,Khulna
Md. Sheikh Masud Rana,md_sheikh_masud_rana_bagerhat_1.jpg,Independent,মোঃ শেখ মাছুদ রানা,95,ফুটবল,,Bagerhat-1,Bagerhat,Khulna
S. M. Golam Sorrowar,s_m_golam_sorrowar_bagerhat_1.jpg,JaPa,গোলাম সারোয়ার,95,লাঙ্গল,JaPa,Bagerhat-1,Bagerhat,Khulna
Md. Mashiur Rahman Khan,md_mashiur_rahman_khan_bagerhat_1.jpg,Jamaat,মোঃ মশিউর রহমান খান,95,দাঁড়িপাল্লা,Jamaat-NCP,Bagerhat-1,Bagerhat,Khulna
Sheikh Mohammad Zakir Hossain,sheikh_mohammad_zakir_hossain_bagerhat_2.jpg,BNP,শেখ মোহাম্মদ জাকির হোসেন,96,ধানের শীষ,BNP,Bagerhat-2,Bagerhat,Khulna
M. A. H. Selim,m_a_h_selim_bagerhat_2.jpg,Independent,এম এ এইচ সেলিম,96,ঘোড়া,,Bagerhat-2,Bagerhat,Khulna
Sheikh Atiyar Rahman,sheikh_atiyar_rahman_bagerhat_2.jpg,Islami Andolan Bangladesh,শেখ আতিয়ার রহমান,96,হাতপাখা,IAB,Bagerhat-2,Bagerhat,Khulna
Sheikh Manjurul Haque (Rahad),sheikh_manjurul_haque_(rahad)_bagerhat_2.jpg,Jamaat,শেখ মনজুরুল হক (রাহাদ),96,দাঁড়িপাল্লা,Jamaat-NCP,Bagerhat-2,Bagerhat,Khulna
Sheikh Faridul Islam,sheikh_faridul_islam_bagerhat_3.jpg,BNP,শেখ ফরিদুল ইসলাম,97,ধানের শীষ,BNP,Bagerhat-3,Bagerhat,Khulna
M. A. H. Selim,m_a_h_selim_bagerhat_3.jpg,Independent,এম এ এইচ সেলিম,97,ঘোড়া,,Bagerhat-3,Bagerhat,Khulna
Sheikh Zillur Rahman,sheikh_zillur_rahman_bagerhat_3.jpg,Islami Andolan Bangladesh,শেখ জিল্লুর রহমান,97,হাতপাখা,IAB,Bagerhat-3,Bagerhat,Khulna
Md. Habibur Rahman Master,md_habibur_rahman_master_bagerhat_3.jpg,JSD,মোঃ হাবিবুর রহমান মাষ্টার,97,তারা,,Bagerhat-3,Bagerhat,Khulna
Mohammed Abdul Wadud Sheikh,mohammed_abdul_wadud_sheikh_bagerhat_3.jpg,Jamaat,মোহাম্মাদ আব্দুল ওয়াদুদ সেখ,97,দাঁড়িপাল্লা,Jamaat-NCP,Bagerhat-3,Bagerhat,Khulna
,,BNP,সোম নাথ দে,98,ধানের শীষ,BNP,Bagerhat-4,Bagerhat,Khulna
,,Independent,কাজী খায়রুজ্জামান (শিপন),98,হরিণ,,Bagerhat-4,Bagerhat,Khulna
,,Islami Andolan Bangladesh,মোঃ ওমর ফারুক,98,হাতপাখা,IAB,Bagerhat-4,Bagerhat,Khulna
,,JSD,মোঃ আঃ লতিফ খাঁন,98,তারা,,Bagerhat-4,Bagerhat,Khulna
,,JaPa,সজন কুমার মিস্ত্রি,98,লাঙ্গল,JaPa,Bagerhat-4,Bagerhat,Khulna
,,Jamaat,মোঃ আব্দুল আলীম,98,দাঁড়িপাল্লা,Jamaat-NCP,Bagerhat-4,Bagerhat,Khulna
Saching Prue,saching_prue_bandarban.jpg,BNP,সাচিং প্রু জেরী,300,ধানের শীষ,BNP,Bandarban,Bandarban,Chittagong
Md. Abul Kalam Azad,md_abul_kalam_azad_bandarban.jpg,Islami Andolan Bangladesh,আবুল কালাম আজাদ,300,হাতপাখা,IAB,Bandarban,Bandarban,Chittagong
Abu Jafar Mohammad Wali Ullah,abu_jafar_mohammad_wali_ullah_bandarban.jpg,JaPa,আবু জাফর মোহাম্মদ ওয়ালীউন্নাহ,300,লাঙ্গল,JaPa,Bandarban,Bandarban,Chittagong
Abu Saeed Md. Sujauddin,abu_saeed_md_sujauddin_bandarban.jpg,NCP,এস এম সুজা উদ্দিন,300,শাপলা কলি,,Bandarban,Bandarban,Chittagong
Md. Nazrul Islam Molla,md_nazrul_islam_molla_barguna_1.jpg,BNP,মোঃ নজরুল ইসলাম মোল্লা,109,ধানের শীষ,BNP,Barguna-1,Barguna,Barisal
Md. Ali Ullah,md_ali_ullah_barguna_1.jpg,Islami Andolan Bangladesh,মোঃ অলি উল্লাহ,109,হাতপাখা,IAB,Barguna-1,Barguna,Barisal
Md. Jamal Hossain,md_jamal_hossain_barguna_1.jpg,JaPa,মোঃ জামাল হোসাইন,109,বাইসাইকেল,JaPa,Barguna-1,Barguna,Barisal
Md. Jahangir Hossain,md_jahangir_hossain_barguna_1.jpg,Khelafat Majlish,মোঃ জাহাঙ্গীর হোসাইন,109,দেওয়াল ঘড়ি,Jamaat-NCP,Barguna-1,Barguna,Barisal
Md. Nurul Islam,md_nurul_islam_barguna_2.jpg,BNP,মোঃ নূরুল ইসলাম,110,ধানের শীষ,BNP,Barguna-2,Barguna,Barisal
Md. Sabbir Ahmed,md_sabbir_ahmed_barguna_2.jpg,Bangladesh Congress,মোঃ সাব্বির আহম্মেদ,110,ডাব,,Barguna-2,Barguna,Barisal
Md. Kamruzzaman Liton,md_kamruzzaman_liton_barguna_2.jpg,Bangladesh Jatiya Party,মোঃ কামরুজ্জামান লিটন,110,কাঁঠাল,,Barguna-2,Barguna,Barisal
Md. Rashed Ud Zaman,md_rashed_ud_zaman_barguna_2.jpg,Independent,মোঃ রাশেদ উদ জামান,110,জাহাজ,,Barguna-2,Barguna,Barisal
Md. Mizanur Rahman,md_mizanur_rahman_barguna_2.jpg,Islami Andolan Bangladesh,মোঃ মিজানুর রহমান,110,হাতপাখা,IAB,Barguna-2,Barguna,Barisal
Abdul Latif Farazi,abdul_latif_farazi_barguna_2.jpg,JaPa,আবদুল লতিফ ফরাজী,110,লাঙ্গল,JaPa,Barguna-2,Barguna,Barisal
Dr. Sultan Ahmed,dr_sultan_ahmed_barguna_2.jpg,Jamaat,ডাঃ সুলতান আহমদ,110,দাঁড়িপাল্লা,Jamaat-NCP,Barguna-2,Barguna,Barisal
Syed Md. Nazis Afroz,syed_md_nazis_afroz_barguna_2.jpg,NDM,সৈয়দ মোঃ নাজেস আফরোজ,110,সিংহ,,Barguna-2,Barguna,Barisal
Md. Solaiman,md_solaiman_barguna_2.jpg,NPP,মোঃ সোলায়মান,110,আম,,Barguna-2,Barguna,Barisal
Zahir Uddin Swapan,zahir_uddin_swapan_barisal_1.jpg,BNP,জহির উদ্দিন স্বপন,119,ধানের শীষ,BNP,Barisal-1,Barisal,Barisal
Abdus Sobhan,abdus_sobhan_barisal_1.jpg,Independent,আব্দুস সোবহান,119,ফুটবল,,Barisal-1,Barisal,Barisal
Md. Russell Sardar,md_russell_sardar_barisal_1.jpg,Islami Andolan Bangladesh,মোঃ রাসেল সরদার,119,হাতপাখা,IAB,Barisal-1,Barisal,Barisal
Sernabiat Sekandar Ali,sernabiat_sekandar_ali_barisal_1.jpg,JaPa,ছেরনিয়াবাত সেকেন্দার আলী,119,বাইসাইকেল,JaPa,Barisal-1,Barisal,Barisal
Md. Kamrul Islam Khan,md_kamrul_islam_khan_barisal_1.jpg,Jamaat,মোঃ কামরুল ইসলাম খান,119,দাঁড়িপাল্লা,Jamaat-NCP,Barisal-1,Barisal,Barisal
Sardar Sarfuddin Ahmed,sardar_sarfuddin_ahmed_barisal_2.jpg,BNP,সরদার সরফুদ্দিন আহমেদ,120,ধানের শীষ,BNP,Barisal-2,Barisal,Barisal
Md. Abul Kamal Azad,md_abul_kamal_azad_barisal_2.jpg,Bangladesh JaSaD,মোঃ আবুল কালাম আজাদ,120,মোটরগাড়ি (কার),,Barisal-2,Barisal,Barisal
Ranjit Kumar Baroi,ranjit_kumar_baroi_barisal_2.jpg,GOP (Nuru),রঞ্জিত কুমার বাড়ৈ,120,ট্রাক,,Barisal-2,Barisal,Barisal
Mohammad Nesar Uddin,mohammad_nesar_uddin_barisal_2.jpg,Islami Andolan Bangladesh,মোহাম্মদ নেছার উদ্দিন,120,হাতপাখা,IAB,Barisal-2,Barisal,Barisal
A. Haq,a_haq_barisal_2.jpg,JP (Manju),আঃ হক,120,বাইসাইকেল,,Barisal-2,Barisal,Barisal
A. A. Jalil,a_a_jalil_barisal_2.jpg,JaPa,এম এ জলিল,120,লাঙ্গল,JaPa,Barisal-2,Barisal,Barisal
Abdul Mannan,abdul_mannan_barisal_2.jpg,Jamaat,আবদুল মন্নান,120,দাঁড়িপাল্লা,Jamaat-NCP,Barisal-2,Barisal,Barisal
Mr. Ali,mr_ali_barisal_2.jpg,NPP,সাহেব আলী,120,আম,,Barisal-2,Barisal,Barisal
Mohammad Asaduzzaman Bhuiyan,mohammad_asaduzzaman_bhuiyan_barisal_3.jpg,AB Party,মোহাম্মদ আসাদুজ্জামান ভুইয়া,121,ঈগল,Jamaat-NCP,Barisal-3,Barisal,Barisal
Zainul Abedin,zainul_abedin_barisal_3.jpg,BNP,জয়নুল আবেদীন,121,ধানের শীষ,BNP,Barisal-3,Barisal,Barisal
Md. Azmul Hasan Jihad,md_azmul_hasan_jihad_barisal_3.jpg,BaSaD,‌মোঃ আজমুল হাসান জিহাদ,121,মই,,Barisal-3,Barisal,Barisal
Yamin H.M. Fardin,yamin_hm_fardin_barisal_3.jpg,GOP (Nuru),ইয়ামিন এইচএম ফারদিন,121,ট্রাক,,Barisal-3,Barisal,Barisal
Muhammad Sirajul Islam,muhammad_sirajul_islam_barisal_3.jpg,Islami Andolan Bangladesh,মুহাম্মদ সিরাজুল ইসলাম,121,হাতপাখা,IAB,Barisal-3,Barisal,Barisal
Golam Kibria Tipu,golam_kibria_tipu_barisal_3.jpg,JaPa,গোলাম কিবরিয়া টিপু,121,লাঙ্গল,JaPa,Barisal-3,Barisal,Barisal
Md. Rajib Ahsan,md_rajib_ahsan_barisal_4.jpg,BNP,মোঃ রাজিব আহসান,122,ধানের শীষ,BNP,Barisal-4,Barisal,Barisal
Abdul Jalil,abdul_jalil_barisal_4.jpg,Bangladesh Sangskritik Muktijote,আবদুল জলিল,122,ছড়ি,,Barisal-4,Barisal,Barisal
Syed Ishaq Md. Abul Khair,syed_ishaq_md_abul_khair_barisal_4.jpg,Islami Andolan Bangladesh,সৈয়দ এছহাক মোঃ আবুল খায়ের,122,হাতপাখা,IAB,Barisal-4,Barisal,Barisal
Abdus Sattar (Dokon),abdus_sattar_(dokon)_barisal_4.jpg,JaSaD,আবদুস ছালাম (খোকন),122,মোটরগাড়ি (কার),,Barisal-4,Barisal,Barisal
Mohammad Abdul Jabbar,mohammad_abdul_jabbar_barisal_4.jpg,Jamaat,মোহাম্মদ আব্দুল জব্বার,122,দাঁড়িপাল্লা,Jamaat-NCP,Barisal-4,Barisal,Barisal
Md. Mujibur Rahman Sarwar,md_mujibur_rahman_sarwar_barisal_5.jpg,BNP,মোঃ মজিবর রহমান সরওয়ার,123,ধানের শীষ,BNP,Barisal-5,Barisal,Barisal
Manisha Chakraborty,manisha_chakraborty_barisal_5.jpg,BaSaD,মনীষা চক্রবর্ত্তী,123,মই,,Barisal-5,Barisal,Barisal
Md. Saidur Rahman,md_saidur_rahman_barisal_5.jpg,BaSaD (M),মোঃসাইদুর রহমান,123,কাঁচি,,Barisal-5,Barisal,Barisal
Mufti Syed Md. Faizul Karim,mufti_syed_md_faizul_karim_barisal_5.jpg,Islami Andolan Bangladesh,মুফতী সৈয়দ মোঃ ফয়জুল করিম,123,হাতপাখা,IAB,Barisal-5,Barisal,Barisal
Akhtar Rahman,akhtar_rahman_barisal_5.jpg,JaPa,আখতার রহমান,123,লাঙ্গল,JaPa,Barisal-5,Barisal,Barisal
Abdul Hannan Sikder,abdul_hannan_sikder_barisal_5.jpg,NPP,আব্দুল হান্নান সিকদার,123,আম,,Barisal-5,Barisal,Barisal
