id,seat_no,seat_name,division_id,total_voter,male_voter,female_voter,total_center,result_id,seats_area,yes,no,total_candidate
106,109,Barguna-1,1,"519,460","259,098","260,351",187,,"Amtali, Taltali, Barguna Sadar",,,4
107,110,Barguna-2,1,"337,744","167,965","169,775",114,,"Patharghata, Bamana, Betagi",,,9
108,111,Patuakhali-1,1,"505,840","254,339","251,493",159,,"Mirzaganj, Dumki, Patuakhali Sadar",,,6
109,112,Patuakhali-2,1,"315,282","160,501","154,779",114,,Baufal,,,5
110,113,Patuakhali-3,1,"375,871","189,020","186,848",124,,"Dasmina, Galachipa",,,5
111,114,Patuakhali-4,1,"312,603","158,123","154,475",110,,"Kalapara, Rangabali",,,4
112,115,Bhola-1,1,"406,567","210,087","196,475",114,,Bhola Sadar,,,8
113,116,Bhola-2,1,"395,546","206,433","189,112",138,,"Daulatkhan, Borhanuddin",,,8
114,117,Bhola-3,1,"388,550","200,497","188,050",119,,"Tajumuddin, Lalmohan",,,6
115,118,Bhola-4,1,"502,026","262,843","239,176",155,,"Char fashion, Manpura",,,7
116,119,Barisal-1,1,"328,198","165,364","162,834",129,,"Agailjhara, Gournadi",,,5
117,120,Barisal-2,1,"385,807","196,262","189,544",136,,"Uzirpur, Banaripara",,,8
118,121,Barisal-3,1,"332,097","167,921","164,173",124,,"Babuganj, Muladi",,,6
119,122,Barisal-4,1,"421,975","217,942","204,030",149,,"Hijla, Mehendiganj",,,5
120,123,Barisal-5,1,"501,304","250,680","250,615",176,,"Barisal Sadar, Barisal City Corporation",,,6
121,124,Barisal-6,1,"315,597","160,055","155,538",113,,Bakerganj,,,6
122,125,Jhalakathi-1,1,"228,431","116,427","112,002",90,,"Kathalia, Rajapur",,,10
123,126,Jhalakathi-2,1,"365,397","185,451","179,944",147,,"Jhalkathi Sadar, Nalchiti",,,8
124,127,Pirojpur-1,1,"392,178","198,709","193,469",167,,"Nazirpur, Nesharabad, Pirojpur Sadar",,,2
125,128,Pirojpur-2,1,"409,288","204,312","204,972",169,,"Kaukhali, Bhandaria, Indurkani",,,7
126,129,Pirojpur-3,1,"241,361","122,045","119,315",84,,Mathbaria,,,6
159,243,Brahmanbaria-1,2,"275,629","146,269","129,357",79,,Nasirnagar,,,8
160,244,Brahmanbaria-2,2,"499,448","265,245","234,201",132,,"Sarail, Ashuganj",,,9
161,245,Brahmanbaria-3,2,"624,601","328,182","296,419",192,,"Brahmanbaria Sadar, Bijoynagar",,,7
162,246,Brahmanbaria-4,2,"443,909","230,647","213,256",118,,"Akhaura, Kasba",,,7
163,247,Brahmanbaria-5,2,"474,826","248,737","226,085",149,,Nabinagar,,,8
164,248,Brahmanbaria-6,2,"289,674","147,260","142,413",91,,Bancharampur,,,10
166,249,Comilla-1,2,"438,616","225,088","213,528",157,,"Meghna, Daudkandi",,,9
167,250,Comilla-2,2,"375,067","196,119","178,947",94,,"Titas, Homna",,,6
168,251,Comilla-3,2,"500,726","258,905","241,817",148,,Muradnagar,,,10
169,252,Comilla-4,2,"410,559","215,237","195,319",114,,Debidwar,,,5
170,253,Comilla-5,2,"476,172","247,155","229,017",140,,"Brahmanpara, Burichong",,,10
