seat_no,seat,district,division,region,voters,male_voters,female_voters,thirdgender_voters
1,Panchagarh-1,Panchagarh,Rangpur,Urban,463700,231976,231723,1
2,Panchagarh-2,Panchagarh,Rangpur,Rural,417529,209708,207818,3
3,Thakurgaon-1,Thakurgaon,Rangpur,Urban,511629,255053,256572,4
4,Thakurgaon-2,Thakurgaon,Rangpur,Rural,340049,175232,164816,1
5,Thakurgaon-3,Thakurgaon,Rangpur,Rural,364129,184701,179426,2
6,Dinajpur-1,Dinajpur,Rangpur,Rural,417133,208919,208212,2
7,Dinajpur-2,Dinajpur,Rangpur,Rural,371478,187112,184366,0
8,Dinajpur-3,Dinajpur,Rangpur,Urban,415636,205486,210148,2
9,Dinajpur-4,Dinajpur,Rangpur,Rural,421278,211304,209972,2
10,Dinajpur-5,Dinajpur,Rangpur,Rural,477516,238583,238930,3
11,Dinajpur-6,Dinajpur,Rangpur,Rural,557692,278086,279593,13
12,Nilphamari-1,Nilphamari,Rangpur,Rural,460271,232483,227786,2
13,Nilphamari-2,Nilphamari,Rangpur,Urban,385785,193034,192749,2
14,Nilphamari-3,Nilphamari,Rangpur,Rural,294446,149878,144567,1
15,Nilphamari-4,Nilphamari,Rangpur,Rural,451814,226728,225081,5
16,Lalmonirhat-1,Lalmonirhat,Rangpur,Rural,403561,202707,200852,2
17,Lalmonirhat-2,Lalmonirhat,Rangpur,Rural,432964,217200,215761,3
18,Lalmonirhat-3,Lalmonirhat,Rangpur,Urban,307970,154167,153801,2
19,Rangpur-1,Rangpur,Rangpur,Rural,375227,188829,186394,4
20,Rangpur-2,Rangpur,Rangpur,Rural,380921,192287,188625,9
21,Rangpur-3,Rangpur,Rangpur,Urban,508223,252369,255849,5
22,Rangpur-4,Rangpur,Rangpur,Rural,509905,250787,259113,5
23,Rangpur-5,Rangpur,Rangpur,Rural,469189,232462,236723,4
24,Rangpur-6,Rangpur,Rangpur,Rural,355737,176103,179630,4
25,Kurigram-1,Kurigram,Rangpur,Rural,563978,281424,282551,3
26,Kurigram-2,Kurigram,Rangpur,Urban,604738,299890,304841,7
27,Kurigram-3,Kurigram,Rangpur,Rural,368470,183064,185406,0
28,Kurigram-4,Kurigram,Rangpur,Rural,362753,181361,181388,4
29,Gaibandha-1,Gaibandha,Rangpur,Rural,419111,207573,211535,3
30,Gaibandha-2,Gaibandha,Rangpur,Urban,411460,202034,209415,11
31,Gaibandha-3,Gaibandha,Rangpur,Rural,506185,248901,257275,9
32,Gaibandha-4,Gaibandha,Rangpur,Rural,468384,231616,236758,10
33,Gaibandha-5,Gaibandha,Rangpur,Rural,385261,192277,192981,3
34,Joypurhat-1,Joypurhat,Rajshahi,Urban,466274,231984,234282,8
35,Joypurhat-2,Joypurhat,Rajshahi,Rural,351572,174177,177393,2
36,Bogra-1,Bogra,Rajshahi,Rural,376019,186388,189626,5
37,Bogra-2,Bogra,Rajshahi,Rural,342155,171497,170653,5
38,Bogra-3,Bogra,Rajshahi,Rural,339181,169347,169831,3
39,Bogra-4,Bogra,Rajshahi,Rural,359523,178985,180530,8
40,Bogra-5,Bogra,Rajshahi,Rural,572340,281287,291047,6
41,Bogra-6,Bogra,Rajshahi,Urban,454043,222796,231237,10
42,Bogra-7,Bogra,Rajshahi,Rural,538092,270070,268017,5
43,Chapai Nawabganj-1,Chapai Nawabganj,Rajshahi,Rural,500181,255316,244865,0
44,Chapai Nawabganj-2,Chapai Nawabganj,Rajshahi,Rural,461000,228825,232174,1
45,Chapai Nawabganj-3,Chapai Nawabganj,Rajshahi,Urban,468479,236648,231831,0
46,Naogaon-1,Naogaon,Rajshahi,Rural,474067,235379,238684,4
47,Naogaon-2,Naogaon,Rajshahi,Rural,372436,185375,187059,2
48,Naogaon-3,Naogaon,Rajshahi,Rural,440785,218988,221796,1
49,Naogaon-4,Naogaon,Rajshahi,Rural,333862,165643,168215,4
50,Naogaon-5,Naogaon,Rajshahi,Urban,363030,180031,182994,5
51,Naogaon-6,Naogaon,Rajshahi,Rural,345416,174350,171061,5
52,Rajshahi-1,Rajshahi,Rajshahi,Rural,468780,234078,234699,3
53,Rajshahi-2,Rajshahi,Rajshahi,Urban,369564,178249,191307,8
54,Rajshahi-3,Rajshahi,Rajshahi,Rural,423738,210897,212835,6
55,Rajshahi-4,Rajshahi,Rajshahi,Rural,319909,160720,159185,4
56,Rajshahi-5,Rajshahi,Rajshahi,Rural,353174,176670,176499,5
57,Rajshahi-6,Rajshahi,Rajshahi,Rural,357054,178068,178984,2
58,Natore-1,Natore,Rajshahi,Rural,368276,183595,184679,2
59,Natore-2,Natore,Rajshahi,Urban,406886,201655,205222,9
60,Natore-3,Natore,Rajshahi,Rural,326872,164088,162781,3
61,Natore-4,Natore,Rajshahi,Rural,445172,221348,223821,3
62,Sirajganj-1,Sirajganj,Rajshahi,Rural,385024,189676,195344,4
63,Sirajganj-2,Sirajganj,Rajshahi,Urban,469878,235248,234626,4
64,Sirajganj-3,Sirajganj,Rajshahi,Rural,444427,222737,221683,7
65,Sirajganj-4,Sirajganj,Rajshahi,Rural,475821,243680,232125,16
66,Sirajganj-5,Sirajganj,Rajshahi,Rural,426321,218664,207655,2
67,Sirajganj-6,Sirajganj,Rajshahi,Rural,485387,246412,238972,3
68,Pabna-1,Pabna,Rajshahi,Rural,464904,237675,227228,1
69,Pabna-2,Pabna,Rajshahi,Rural,373425,191467,181957,1
70,Pabna-3,Pabna,Rajshahi,Rural,486806,243937,242863,6
71,Pabna-4,Pabna,Rajshahi,Rural,440168,221442,218720,6
