seat_name,party,name,vote,center,division_id,total_center,time,source,voters,male_voters,female_voters,thirdgender_voters,vote_pc
Chapai Nawabganj-2,AB Party,Md. Matibul Islam,,13.0,5,182,2026-02-12 15:56:06.220455+00:00,dt,461000.0,228825.0,232174.0,1.0,
Chapai Nawabganj-2,BNP,Md. Shamsuzzoha Khan,12850.0,13.0,5,182,2026-02-12 15:56:06.220455+00:00,dt,461000.0,228825.0,232174.0,1.0,2.79
Chapai Nawabganj-2,Jamaat,Md. Enamul Haque,14796.0,13.0,5,182,2026-02-12 15:56:06.220455+00:00,dt,461000.0,228825.0,232174.0,1.0,3.21
Chapai Nawabganj-3,BNP,Md. Fazle Huda,,,5,172,2026-02-12 15:56:06.220455+00:00,dt,468479.0,236648.0,231831.0,0.0,
Chapai Nawabganj-3,Islami Andolan Bangladesh,Nasir Bin Asgar,,,5,172,2026-02-12 15:56:06.220455+00:00,dt,468479.0,236648.0,231831.0,0.0,
Chapai Nawabganj-3,JaPa,Md. Masud Rana,,,5,172,2026-02-12 15:56:06.220455+00:00,dt,468479.0,236648.0,231831.0,0.0,
Chapai Nawabganj-3,Jamaat,Md. Mahfuzur Rahman,,,5,172,2026-02-12 15:56:06.220455+00:00,dt,468479.0,236648.0,231831.0,0.0,
Gaibandha-1,BNP,Md. Rokon Uddin Babul,,,6,114,2026-02-12 15:56:06.220455+00:00,dt,419111.0,207573.0,211535.0,3.0,
Gaibandha-1,CPB,Nimai Chandra Roy,,,6,114,2026-02-12 15:56:06.220455+00:00,dt,419111.0,207573.0,211535.0,3.0,
Gaibandha-1,Islami Andolan Bangladesh,Md. Mahfuzur Rahman,,,6,114,2026-02-12 15:56:06.220455+00:00,dt,419111.0,207573.0,211535.0,3.0,
Gaibandha-1,JaPa,Md. Elahan Uddin,,,6,114,2026-02-12 15:56:06.220455+00:00,dt,419111.0,207573.0,211535.0,3.0,
Gaibandha-1,Jamaat,Md. Firoz Haider,,,6,114,2026-02-12 15:56:06.220455+00:00,dt,419111.0,207573.0,211535.0,3.0,
Gaibandha-2,BNP,Asadul Habib Dulu,,,6,114,2026-02-12 15:56:06.220455+00:00,dt,411460.0,202034.0,209415.0,11.0,
Gaibandha-2,CPB,Madhu Sudan Roy,,,6,114,2026-02-12 15:56:06.220455+00:00,dt,411460.0,202034.0,209415.0,11.0,
Gaibandha-2,Ganosamhati Andolon (Saki),Dipak Kumar Roy,,,6,114,2026-02-12 15:56:06.220455+00:00,dt,411460.0,202034.0,209415.0,11.0,
Gaibandha-2,Islami Andolan Bangladesh,Md. Aminul Islam,,,6,114,2026-02-12 15:56:06.220455+00:00,dt,411460.0,202034.0,209415.0,11.0,
Gaibandha-2,JaPa,Md. Zahid Hasan,,,6,114,2026-02-12 15:56:06.220455+00:00,dt,411460.0,202034.0,209415.0,11.0,
Gaibandha-2,Jamaat,Md. Abu Taher,,,6,114,2026-02-12 15:56:06.220455+00:00,dt,411460.0,202034.0,209415.0,11.0,
Gaibandha-3,BNP,Md. Masud Rana Pradhan,854.0,1.0,6,134,2026-02-12 15:56:06.220455+00:00,dt,506185.0,248901.0,257275.0,9.0,0.17
Gaibandha-3,JaPa,Sabekun Nahar,,1.0,6,134,2026-02-12 15:56:06.220455+00:00,dt,506185.0,248901.0,257275.0,9.0,
Gaibandha-3,Jamaat,Md. Fazlur Rahman Saeed,1410.0,1.0,6,134,2026-02-12 15:56:06.220455+00:00,dt,506185.0,248901.0,257275.0,9.0,0.28
Gaibandha-4,AB Party,S. A. Zahid,,11.0,6,139,2026-02-12 15:56:06.220455+00:00,dt,468384.0,231616.0,236758.0,10.0,
Gaibandha-4,BNP,Md. Abdul Bari,15316.0,11.0,6,139,2026-02-12 15:56:06.220455+00:00,dt,468384.0,231616.0,236758.0,10.0,3.27
Gaibandha-4,Jamaat,S. M. Rashedul Alam,10445.0,11.0,6,139,2026-02-12 15:56:06.220455+00:00,dt,468384.0,231616.0,236758.0,10.0,2.23
Gaibandha-5,BNP,Kazi Rafiqul Islam,,,6,145,2026-02-12 15:56:06.220455+00:00,dt,385261.0,192277.0,192981.0,3.0,
Gaibandha-5,Gano Forum,Md. Zulfikar Ali,,,6,145,2026-02-12 15:56:06.220455+00:00,dt,385261.0,192277.0,192981.0,3.0,
Gaibandha-5,Islami Andolan Bangladesh,A. B. M. Mostafa Kamal Pasha,,,6,145,2026-02-12 15:56:06.220455+00:00,dt,385261.0,192277.0,192981.0,3.0,
Gaibandha-5,Jamaat,Md. Shahabuddin,,,6,145,2026-02-12 15:56:06.220455+00:00,dt,385261.0,192277.0,192981.0,3.0,
Habiganj-1,BNP,Md. Amanullah Aman,,,8,177,2026-02-12 15:56:06.220455+00:00,dt,466921.0,236576.0,230340.0,5.0,
Habiganj-1,Islami Andolan Bangladesh,Md. Jahirul Islam,,,8,177,2026-02-12 15:56:06.220455+00:00,dt,466921.0,236576.0,230340.0,5.0,
Habiganj-1,Jamaat,Md. Abdul Haque,,,8,177,2026-02-12 15:56:06.220455+00:00,dt,466921.0,236576.0,230340.0,5.0,
