seat_no,name,vote,party,alliance,seat,district,division,region,voters,male_voters,female_voters,thirdgender_voters,time,vote_pc
95,কপিল কৃষ্ণ মন্ডল,114323,BNP,BNP,Bagerhat-1,Bagerhat,Khulna,Rural,375560.0,190838.0,184720.0,2.0,2026-02-14 14:42:37.115645+00:00,30.44
95,মোঃ মশিউর রহমান খান,117527,Jamaat,Jamaat-NCP,Bagerhat-1,Bagerhat,Khulna,Rural,375560.0,190838.0,184720.0,2.0,2026-02-14 14:42:37.115645+00:00,31.29
96,শেখ মোহাম্মদ জাকির হোসেন,66409,BNP,BNP,Bagerhat-2,Bagerhat,Khulna,Urban,338009.0,167739.0,170265.0,5.0,2026-02-14 14:42:37.115645+00:00,19.65
96,শেখ মনজুরুল হক (রাহাদ),117709,Jamaat,Jamaat-NCP,Bagerhat-2,Bagerhat,Khulna,Urban,338009.0,167739.0,170265.0,5.0,2026-02-14 14:42:37.115645+00:00,34.82
97,শেখ ফরিদুল ইসলাম,103711,BNP,BNP,Bagerhat-3,Bagerhat,Khulna,Rural,266864.0,132350.0,134510.0,4.0,2026-02-14 14:42:37.115645+00:00,38.86
97,মোহাম্মাদ আব্দুল ওয়াদুদ সেখ,83705,Jamaat,Jamaat-NCP,Bagerhat-3,Bagerhat,Khulna,Rural,266864.0,132350.0,134510.0,4.0,2026-02-14 14:42:37.115645+00:00,31.37
98,সোম নাথ দে,98326,BNP,BNP,Bagerhat-4,Bagerhat,Khulna,Rural,380679.0,191812.0,188864.0,3.0,2026-02-14 14:42:37.115645+00:00,25.83
98,মোঃ আব্দুল আলীম,116067,Jamaat,Jamaat-NCP,Bagerhat-4,Bagerhat,Khulna,Rural,380679.0,191812.0,188864.0,3.0,2026-02-14 14:42:37.115645+00:00,30.49
300,সাচিং প্রু,141455,BNP,BNP,Bandarban,Bandarban,Chittagong,Rural,315422.0,161775.0,153647.0,0.0,2026-02-14 14:42:37.115645+00:00,44.85
300,আবু সাঈদ মোঃ সূজা উদ্দীন,26162,NCP,Jamaat-NCP,Bandarban,Bandarban,Chittagong,Rural,315422.0,161775.0,153647.0,0.0,2026-02-14 14:42:37.115645+00:00,8.29
109,মোঃ নজরুল ইসলাম মোল্লা,134337,BNP,BNP,Barguna-1,Barguna,Barisal,Urban,519460.0,259098.0,260351.0,11.0,2026-02-14 14:42:37.115645+00:00,25.86
109,মোঃ অলি উল্লাহ,138510,Islami Andolan Bangladesh,no alliance,Barguna-1,Barguna,Barisal,Urban,519460.0,259098.0,260351.0,11.0,2026-02-14 14:42:37.115645+00:00,26.66
110,মোঃ নূরুল ইসলাম,89428,BNP,BNP,Barguna-2,Barguna,Barisal,Rural,337744.0,167965.0,169775.0,4.0,2026-02-14 14:42:37.115645+00:00,26.48
