seat_name,party,name,vote,center,division_id,total_center,time,source
Chapai Nawabganj-2,Jamaat,Md. Enamul Haque,14796.0,13.0,5,182,2026-02-12 15:56:06.220455+00:00,dt
Chapai Nawabganj-2,BNP,Md. Shamsuzzoha Khan,12850.0,13.0,5,182,2026-02-12 15:56:06.220455+00:00,dt
Chapai Nawabganj-2,AB Party,Md. Matibul Islam,,13.0,5,182,2026-02-12 15:56:06.220455+00:00,dt
Chapai Nawabganj-3,Islami Andolan Bangladesh,Nasir Bin Asgar,,,5,172,2026-02-12 15:56:06.220455+00:00,dt
Chapai Nawabganj-3,BNP,Md. Fazle Huda,,,5,172,2026-02-12 15:56:06.220455+00:00,dt
Chapai Nawabganj-3,JaPa,Md. Masud Rana,,,5,172,2026-02-12 15:56:06.220455+00:00,dt
Chapai Nawabganj-3,Jamaat,Md. Mahfuzur Rahman,,,5,172,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-1,BNP,Ikramul Bari Tipu,63662.0,53.0,5,165,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-1,Jamaat,Md. Abdur Rakib,40685.0,53.0,5,165,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-1,CPB,Dr. S. M. Fazlur Rahman,,53.0,5,165,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-1,JaPa,Md. Altaf Hossain,,53.0,5,165,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-1,Islami Andolan Bangladesh,Sohrab Hossain,,53.0,5,165,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-2,BNP,Md. Zahidul Islam Dhalu,36971.0,30.0,5,124,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-2,Jamaat,Abu Sadat Md. Sayem,24885.0,30.0,5,124,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-2,JaPa,Md. Anwar Hossain,,30.0,5,124,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-2,Islami Andolan Bangladesh,Md. Abdur Rahman,,30.0,5,124,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-2,CPB,Shafiqul Islam,,30.0,5,124,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-3,BNP,Sheikh Md. Rezaul Islam,25541.0,27.0,5,141,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-3,Jamaat,Md. Khabirul Islam,23664.0,27.0,5,141,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-3,Islami Andolan Bangladesh,Md. Rafiqul Islam,,27.0,5,141,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-4,Jamaat,Md. Mujibur Rahman,18336.0,14.0,5,117,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-4,BNP,Md. Sharif Uddin,10113.0,14.0,5,117,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-4,AB Party,Md. Abdur Rahman,,14.0,5,117,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-5,BNP,Md. Mizanur Rahman Minu,15144.0,14.0,5,113,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-5,Jamaat,Mohammad Jahangir,11013.0,14.0,5,113,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-5,AB Party,Md. Saeed Noman,,14.0,5,113,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-6,BNP,Mohammad Shafiqul Haque Milon,23015.0,19.0,5,114,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-6,Jamaat,Md. Abul Kalam Azad,14510.0,19.0,5,114,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-6,JaPa,Md. Afzal Hossain,,19.0,5,114,2026-02-12 15:56:06.220455+00:00,dt
Naogaon-6,Islami Andolan Bangladesh,Md. Fazlur Rahman,,19.0,5,114,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-1,Jamaat,Md. Abdul Bari Sardar,43295.0,40.0,5,158,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-1,BNP,D. M. D. Ziaur Rahman,40655.0,40.0,5,158,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-1,Islami Andolan Bangladesh,Md. Tajul Islam Khan,,40.0,5,158,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-1,JaPa,Md. Fazlul Haque,,40.0,5,158,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-2,BNP,Professor Nazrul Islam,14869.0,13.0,5,112,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-2,Jamaat,Manjur Rahman,5372.0,13.0,5,112,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-2,Islami Andolan Bangladesh,Md. Ruhul Amin,,13.0,5,112,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-3,BNP,Md. Abu Sayeed Chand,6227.0,5.0,5,128,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-3,Jamaat,Md. Nazmul Haque,3393.0,5.0,5,128,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-3,Islami Andolan Bangladesh,Md. Abdus Salam Suruj,,5.0,5,128,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-3,JaPa,Md. Iqbal Hossain,,5.0,5,128,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-4,Jamaat,Md. Abul Kalam Azad,910.0,1.0,5,122,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-4,BNP,Farzana Sharmin,398.0,1.0,5,122,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-4,Islami Andolan Bangladesh,Md. Abdullahil Baki,,1.0,5,122,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-4,JaPa,Md. Sahed Ali Jinnah,,1.0,5,122,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-4,Ganosamhati Andolon (Saki),Md. Sentu Ali,,1.0,5,122,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-5,BNP,M. Ruhul Quddus Talukder Dulu,9982.0,9.0,5,132,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-5,Jamaat,Md. Yunus Ali,9034.0,9.0,5,132,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-5,Ganosamhati Andolon (Saki),Tahamida Islam Tania,,9.0,5,132,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-5,JaPa,Md. Rakib Uddin (Komol),,9.0,5,132,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-5,Islami Andolan Bangladesh,Mohammad Ali Siddiqui,,9.0,5,132,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-6,NCP,S. M. Zargis Qadir,,,5,118,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-6,BNP,Md. Anwarul Islam,,,5,118,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-6,JaPa,Md. Ashiq Iqbal,,,5,118,2026-02-12 15:56:06.220455+00:00,dt
Rajshahi-6,Islami Andolan Bangladesh,Md. Khalilur Rahman,,,5,118,2026-02-12 15:56:06.220455+00:00,dt
Natore-1,JaPa,M. Yusuf Ahmed,,,5,125,2026-02-12 15:56:06.220455+00:00,dt
Natore-1,BNP,Md. Abdul Aziz,,,5,125,2026-02-12 15:56:06.220455+00:00,dt
Natore-1,Jamaat,Md. Abdul Hakim,,,5,125,2026-02-12 15:56:06.220455+00:00,dt
Natore-1,Islami Andolan Bangladesh,Md. Emdadullah,,,5,125,2026-02-12 15:56:06.220455+00:00,dt
Natore-1,AB Party,Md. Moksedul Momin,,,5,125,2026-02-12 15:56:06.220455+00:00,dt
Natore-2,JaPa,Md. Jahurul Islam,,,5,156,2026-02-12 15:56:06.220455+00:00,dt
Natore-2,Jamaat,Md. Shahinur Alam,,,5,156,2026-02-12 15:56:06.220455+00:00,dt
Natore-2,BNP,Md. Selim Reza,,,5,156,2026-02-12 15:56:06.220455+00:00,dt
Natore-3,BNP,Iqbal Hasan Mahmud,2618.0,2.0,5,118,2026-02-12 15:56:06.220455+00:00,dt
Natore-3,Jamaat,Muhammad Zahidul Islam,1269.0,2.0,5,118,2026-02-12 15:56:06.220455+00:00,dt
Natore-3,CPB,Md. Anwar Hossain,,2.0,5,118,2026-02-12 15:56:06.220455+00:00,dt
Natore-3,Islami Andolan Bangladesh,Md. Mohibullah,,2.0,5,118,2026-02-12 15:56:06.220455+00:00,dt
Natore-4,Bangladesh Khelafat Majlish,Md. Abdur Rauf Sarkar,,,5,167,2026-02-12 15:56:06.220455+00:00,dt
Natore-4,BNP,Md. Ainul Haque,,,5,167,2026-02-12 15:56:06.220455+00:00,dt
Natore-4,JaPa,Md. Fazlul Haque,,,5,167,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-1,Islami Andolan Bangladesh,Abdur Rahman,,,5,173,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-1,BNP,M. Akbar Ali,,,5,173,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-1,CPB,Md. Abdul Hakim,,,5,173,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-1,Jamaat,Md. Rafiqul Islam Khan,,,5,173,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-1,JaPa,Md. Hilton Pramanik,,,5,173,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-2,Islami Andolan Bangladesh,Nurun Nabi,,,5,145,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-2,JaPa,Md. Akbar Hossain,,,5,145,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-2,BNP,Md. Amirul Islam Khan,,,5,145,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-2,Jamaat,Md. Ali Alam,,,5,145,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-2,CPB,Md. Matiar Rahman,,,5,145,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-3,AB Party,Abu Jafar Md. Anwarus Sadat,,,5,153,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-3,BNP,M. A. Muhit,,,5,153,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-3,NCP,S. M. Saif Mostafiz,,,5,153,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-3,Islami Andolan Bangladesh,Misbah Uddin,,,5,153,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-3,JaPa,Md. Moktar Hossain,,,5,153,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-4,Islami Andolan Bangladesh,Md. Abdul Gani,,,5,137,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-4,BNP,Md. Shamsur Rahman,,,5,137,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-4,Jamaat,Mohammad Najibur Rahman,,,5,137,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-5,BNP,A. K. M. Selim Reza Habib,,,5,124,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-5,Islami Andolan Bangladesh,Md. Afzal Hossain Khan Kashemi,,,5,124,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-5,JaPa,Md. Mehedi Hasan Rubel,,,5,124,2026-02-12 15:56:06.220455+00:00,dt
Sirajganj-5,Jamaat,Md. Hesab Uddin,,,5,124,2026-02-12 15:56:06.220455+00:00,dt
