seat_no,name,vote,party,alliance,seat,district,division,region,voters,male_voters,female_voters,thirdgender_voters,time
83,মোঃ মতিয়ার রহমান,175857,Jamaat,Jamaat-NCP,Jhenaidah-3,Jhenaidah,Khulna,Rural,431015.0,217470.0,213542.0,3.0,2026-02-13 06:56:39.912346+00:00
88,মতিয়ার রহমান ফারাজী,131917,BNP,BNP,Jessore-4,Jessore,Khulna,Rural,453634.0,224371.0,229259.0,4.0,2026-02-13 06:56:39.912346+00:00
88,মোঃ গোলাম রছুল,176912,Jamaat,Jamaat-NCP,Jessore-4,Jessore,Khulna,Rural,453634.0,224371.0,229259.0,4.0,2026-02-13 06:56:39.912346+00:00
124,মোঃ মাহমুদুন্নবী,55988,Jamaat,Jamaat-NCP,Barisal-6,Barisal,Barisal,Rural,315597.0,160055.0,155538.0,4.0,2026-02-13 06:56:39.912346+00:00
124,আবুল হোসেন খান,82217,BNP,BNP,Barisal-6,Barisal,Barisal,Rural,315597.0,160055.0,155538.0,4.0,2026-02-13 06:56:39.912346+00:00
123,মুফতী সৈয়দ মোঃ ফয়জুল করিম,95044,Islami Andolan Bangladesh,,Barisal-5,Barisal,Barisal,Urban,501304.0,250680.0,250615.0,9.0,2026-02-13 06:56:39.912346+00:00
123,মোঃ মজিবর রহমান সরওয়ার,135146,BNP,BNP,Barisal-5,Barisal,Barisal,Urban,501304.0,250680.0,250615.0,9.0,2026-02-13 06:56:39.912346+00:00
122,মোহাম্মদ আব্দুল জব্বার,74684,Jamaat,Jamaat-NCP,Barisal-4,Barisal,Barisal,Rural,421975.0,217942.0,204030.0,3.0,2026-02-13 06:56:39.912346+00:00
122,মোঃ রাজিব আহসান,128322,BNP,BNP,Barisal-4,Barisal,Barisal,Rural,421975.0,217942.0,204030.0,3.0,2026-02-13 06:56:39.912346+00:00
121,মোহাম্মদ আসাদুজ্জামান ভুইয়া,61192,AB Party,Jamaat-NCP,Barisal-3,Barisal,Barisal,Rural,332097.0,167921.0,164173.0,3.0,2026-02-13 06:56:39.912346+00:00
121,জয়নুল আবেদীন,80930,BNP,BNP,Barisal-3,Barisal,Barisal,Rural,332097.0,167921.0,164173.0,3.0,2026-02-13 06:56:39.912346+00:00
120,আবদুল মন্নান,74082,Jamaat,Jamaat-NCP,Barisal-2,Barisal,Barisal,Rural,385807.0,196262.0,189544.0,1.0,2026-02-13 06:56:39.912346+00:00
120,সরদার সরফুদ্দিন আহমেদ,141622,BNP,BNP,Barisal-2,Barisal,Barisal,Rural,385807.0,196262.0,189544.0,1.0,2026-02-13 06:56:39.912346+00:00
119,মোঃ কামরুল ইসলাম খান,46263,Jamaat,Jamaat-NCP,Barisal-1,Barisal,Barisal,Rural,328198.0,165364.0,162834.0,0.0,2026-02-13 06:56:39.912346+00:00
119,জহির উদ্দিন স্বপন,100552,BNP,BNP,Barisal-1,Barisal,Barisal,Rural,328198.0,165364.0,162834.0,0.0,2026-02-13 06:56:39.912346+00:00
167,আতাউল্লাহ আমীন,42555,Bangladesh Khelafat Mojlish,Jamaat-NCP,Kishoreganj-6,Kishoreganj,Dhaka,Rural,428804.0,221114.0,207687.0,3.0,2026-02-13 06:56:39.912346+00:00
167,মোঃ শরীফুল আলম,185813,BNP,BNP,Kishoreganj-6,Kishoreganj,Dhaka,Rural,428804.0,221114.0,207687.0,3.0,2026-02-13 06:56:39.912346+00:00
166,সৈয়দ এহসানুল হুদা,66118,BNP,BNP,Kishoreganj-5,Kishoreganj,Dhaka,Rural,353566.0,182452.0,171108.0,6.0,2026-02-13 06:56:39.912346+00:00
166,শেখ মজিবুর রহমান ইকবাল,79210,Independent,,Kishoreganj-5,Kishoreganj,Dhaka,Rural,353566.0,182452.0,171108.0,6.0,2026-02-13 06:56:39.912346+00:00
165,মোঃ রোকন রেজা শেখ,55646,Jamaat,Jamaat-NCP,Kishoreganj-4,Kishoreganj,Dhaka,Rural,408352.0,211182.0,197166.0,4.0,2026-02-13 06:56:39.912346+00:00
165,মোঃ ফজলুর রহমান,132553,BNP,BNP,Kishoreganj-4,Kishoreganj,Dhaka,Rural,408352.0,211182.0,197166.0,4.0,2026-02-13 06:56:39.912346+00:00
164,জেহাদ খান,101276,Jamaat,Jamaat-NCP,Kishoreganj-3,Kishoreganj,Dhaka,Rural,448625.0,230210.0,218412.0,3.0,2026-02-13 06:56:39.912346+00:00
164,ড. মুহাম্মদ ওসমান ফারুক,111638,BNP,BNP,Kishoreganj-3,Kishoreganj,Dhaka,Rural,448625.0,230210.0,218412.0,3.0,2026-02-13 06:56:39.912346+00:00
163,মোঃ শফিকুল ইসলাম,117961,Jamaat,Jamaat-NCP,Kishoreganj-2,Kishoreganj,Dhaka,Rural,532516.0,268568.0,263939.0,9.0,2026-02-13 06:56:39.912346+00:00
163,এডভোকেট মোঃ জালাল উদ্দীন,142616,BNP,BNP,Kishoreganj-2,Kishoreganj,Dhaka,Rural,532516.0,268568.0,263939.0,9.0,2026-02-13 06:56:39.912346+00:00
220,মোঃ রফিকুল ইসলাম,84646,Jamaat,Jamaat-NCP,Madaripur-3,Madaripur,Dhaka,Rural,387806.0,202645.0,185159.0,2.0,2026-02-13 06:56:39.912346+00:00
220,আনিছুর রহমান,96128,BNP,BNP,Madaripur-3,Madaripur,Dhaka,Rural,387806.0,202645.0,185159.0,2.0,2026-02-13 06:56:39.912346+00:00
219,মিল্টন বৈদ্য,46476,Independent,,Madaripur-2,Madaripur,Dhaka,Urban,436233.0,223624.0,212601.0,8.0,2026-02-13 06:56:39.912346+00:00
219,মোঃ জাহান্দার আলী মিয়া,61744,BNP,BNP,Madaripur-2,Madaripur,Dhaka,Urban,436233.0,223624.0,212601.0,8.0,2026-02-13 06:56:39.912346+00:00
292,নাজমুল মোস্তফা আমীন,127025,BNP,BNP,Chittagong-15,Chittagong,Chittagong,Rural,506059.0,270915.0,235144.0,0.0,2026-02-13 06:56:39.912346+00:00
292,শাহজাহান চৌধুরী,172061,Jamaat,Jamaat-NCP,Chittagong-15,Chittagong,Chittagong,Rural,506059.0,270915.0,235144.0,0.0,2026-02-13 06:56:39.912346+00:00
162,হেদায়াতুল্লাহ হাদী,99488,Bangladesh Khelafat Mojlish,Jamaat-NCP,Kishoreganj-1,Kishoreganj,Dhaka,Urban,555136.0,280657.0,274476.0,3.0,2026-02-13 06:56:39.912346+00:00
162,মাজহারুল ইসলাম,122946,BNP,BNP,Kishoreganj-1,Kishoreganj,Dhaka,Urban,555136.0,280657.0,274476.0,3.0,2026-02-13 06:56:39.912346+00:00
247,কাজী নাজমুল হোসেন,84708,Independent,,Brahmanbaria-5,Brahmanbaria,Chittagong,Rural,474826.0,248737.0,226085.0,4.0,2026-02-13 06:56:39.912346+00:00
247,মোঃ আবদুল মান্নান,85769,BNP,BNP,Brahmanbaria-5,Brahmanbaria,Chittagong,Rural,474826.0,248737.0,226085.0,4.0,2026-02-13 06:56:39.912346+00:00
246,মোঃ আতাউর রহমান সরকার,91796,Jamaat,Jamaat-NCP,Brahmanbaria-4,Brahmanbaria,Chittagong,Rural,443909.0,230647.0,213256.0,6.0,2026-02-13 06:56:39.912346+00:00
246,মুশফিকুর রহমান,139842,BNP,BNP,Brahmanbaria-4,Brahmanbaria,Chittagong,Rural,443909.0,230647.0,213256.0,6.0,2026-02-13 06:56:39.912346+00:00
245,আতাউল্লাহ,62547,NCP,Jamaat-NCP,Brahmanbaria-3,Brahmanbaria,Chittagong,Urban,624601.0,328182.0,296419.0,0.0,2026-02-13 06:56:39.912346+00:00
245,মোঃ খালেদ হোসেন মাহবুব,209636,BNP,BNP,Brahmanbaria-3,Brahmanbaria,Chittagong,Urban,624601.0,328182.0,296419.0,0.0,2026-02-13 06:56:39.912346+00:00
244,মোহাম্মদ জুনায়েদ আল হাবীব,80434,Jamiat Ulema-e-Islam Bangladesh,BNP,Brahmanbaria-2,Brahmanbaria,Chittagong,Rural,499448.0,265245.0,234201.0,2.0,2026-02-13 06:56:39.912346+00:00
244,রুমিন ফারহানা,118547,Independent,,Brahmanbaria-2,Brahmanbaria,Chittagong,Rural,499448.0,265245.0,234201.0,2.0,2026-02-13 06:56:39.912346+00:00
243,"এ, কে, এম কামরুজ্জামান",35220,Independent,,Brahmanbaria-1,Brahmanbaria,Chittagong,Rural,275629.0,146269.0,129357.0,3.0,2026-02-13 06:56:39.912346+00:00
243,"এম, এ, হান্নান",68092,BNP,BNP,Brahmanbaria-1,Brahmanbaria,Chittagong,Rural,275629.0,146269.0,129357.0,3.0,2026-02-13 06:56:39.912346+00:00
296,শহীদুল আলম  (বাহাদুর),152994,Jamaat,Jamaat-NCP,Cox's Bazar-3,Cox's Bazar,Chittagong,Urban,545962.0,291099.0,254862.0,1.0,2026-02-13 06:56:39.912346+00:00
296,লুৎফুর রহমান,181460,BNP,BNP,Cox's Bazar-3,Cox's Bazar,Chittagong,Urban,545962.0,291099.0,254862.0,1.0,2026-02-13 06:56:39.912346+00:00
297,নুর আহমদ আনোয়ারী,121980,Jamaat,Jamaat-NCP,Cox's Bazar-4,Cox's Bazar,Chittagong,Rural,375688.0,192803.0,182879.0,6.0,2026-02-13 06:56:39.912346+00:00
297,শাহজাহান চৌধুরী,122909,BNP,BNP,Cox's Bazar-4,Cox's Bazar,Chittagong,Rural,375688.0,192803.0,182879.0,6.0,2026-02-13 06:56:39.912346+00:00
39,মোঃ মোস্তফা ফয়সাল,108978,Jamaat,Jamaat-NCP,Bogra-4,Bogra,Rajshahi,Rural,359523.0,178985.0,180530.0,8.0,2026-02-13 06:56:39.912346+00:00
39,মোঃ মোশারফ হোসেন,155339,BNP,BNP,Bogra-4,Bogra,Rajshahi,Rural,359523.0,178985.0,180530.0,8.0,2026-02-13 06:56:39.912346+00:00
284,এ টি এম রেজাউল করিম,41719,Jamaat,Jamaat-NCP,Chittagong-7,Chittagong,Chittagong,Rural,319008.0,167531.0,151476.0,1.0,2026-02-13 06:56:39.912346+00:00
284,হুমাম কাদের চৌধুরী,11445,BNP,BNP,Chittagong-7,Chittagong,Chittagong,Rural,319008.0,167531.0,151476.0,1.0,2026-02-13 06:56:39.912346+00:00
283,মোহাম্মদ ইলিয়াছ নূরী,27146,Bangladesh Islami Front,,Chittagong-6,Chittagong,Chittagong,Rural,339988.0,178971.0,161017.0,0.0,2026-02-13 06:56:39.912346+00:00
283,গিয়াস উদ্দিন কাদের চৌধুরী,112237,BNP,BNP,Chittagong-6,Chittagong,Chittagong,Rural,339988.0,178971.0,161017.0,0.0,2026-02-13 06:56:39.912346+00:00
18,মোঃ আবু তাহের,56244,Jamaat,Jamaat-NCP,Lalmonirhat-3,Lalmonirhat,Rangpur,Urban,307970.0,154167.0,153801.0,2.0,2026-02-13 06:56:39.912346+00:00
18,আসাদুল হাবিব দুলু,139651,BNP,BNP,Lalmonirhat-3,Lalmonirhat,Rangpur,Urban,307970.0,154167.0,153801.0,2.0,2026-02-13 06:56:39.912346+00:00
17,মোঃ ফিরোজ হায়দার,117252,Jamaat,Jamaat-NCP,Lalmonirhat-2,Lalmonirhat,Rangpur,Rural,432964.0,217200.0,215761.0,3.0,2026-02-13 06:56:39.912346+00:00
17,মোঃ রোকন উদ্দীন বাবুল,123946,BNP,BNP,Lalmonirhat-2,Lalmonirhat,Rangpur,Rural,432964.0,217200.0,215761.0,3.0,2026-02-13 06:56:39.912346+00:00
16,মোঃ আনোয়ারুল ইসলাম রাজু,129572,Jamaat,Jamaat-NCP,Lalmonirhat-1,Lalmonirhat,Rangpur,Rural,403561.0,202707.0,200852.0,2.0,2026-02-13 06:56:39.912346+00:00
16,মোঃ হাসান রাজীব প্রধান,138686,BNP,BNP,Lalmonirhat-1,Lalmonirhat,Rangpur,Rural,403561.0,202707.0,200852.0,2.0,2026-02-13 06:56:39.912346+00:00
277,মোঃ আশরাফুর রহমান হাফিজউল্যা,70765,Jamaat,Jamaat-NCP,Lakshmipur-4,Lakshmipur,Chittagong,Rural,418160.0,218483.0,199676.0,1.0,2026-02-13 06:56:39.912346+00:00
277,"এ,বি,এম আশরাফ উদ্দিন (নিজান)",114026,BNP,BNP,Lakshmipur-4,Lakshmipur,Chittagong,Rural,418160.0,218483.0,199676.0,1.0,2026-02-13 06:56:39.912346+00:00
275,"এস, ইউ ,এম, রুহুল আমিন ভূঁইয়া",133698,Jamaat,Jamaat-NCP,Lakshmipur-2,Lakshmipur,Chittagong,Rural,493970.0,254407.0,239558.0,5.0,2026-02-13 06:56:39.912346+00:00
275,মোঃ আবুল খায়ের ভূঁইয়া,146321,BNP,BNP,Lakshmipur-2,Lakshmipur,Chittagong,Rural,493970.0,254407.0,239558.0,5.0,2026-02-13 06:56:39.912346+00:00
114,মোস্তাফিজুর রহমান,70127,Islami Andolan Bangladesh,,Patuakhali-4,Patuakhali,Barisal,Rural,312603.0,158123.0,154475.0,5.0,2026-02-13 06:56:39.912346+00:00
114,এ বি এম মোশাররফ হোসেন,124013,BNP,BNP,Patuakhali-4,Patuakhali,Barisal,Rural,312603.0,158123.0,154475.0,5.0,2026-02-13 06:56:39.912346+00:00
113,মোঃ হাসান মামুন,81361,Independent,,Patuakhali-3,Patuakhali,Barisal,Rural,375871.0,189020.0,186848.0,3.0,2026-02-13 06:56:39.912346+00:00
113,মোঃ নুরুল হক,97323,GOP (Nuru),BNP,Patuakhali-3,Patuakhali,Barisal,Rural,375871.0,189020.0,186848.0,3.0,2026-02-13 06:56:39.912346+00:00
112,মোঃ সহিদুল আলম তালুকদার,72676,BNP,BNP,Patuakhali-2,Patuakhali,Barisal,Rural,315282.0,160501.0,154779.0,2.0,2026-02-13 06:56:39.912346+00:00
112,মোঃ শফিকুল ইসলাম,100750,Jamaat,Jamaat-NCP,Patuakhali-2,Patuakhali,Barisal,Rural,315282.0,160501.0,154779.0,2.0,2026-02-13 06:56:39.912346+00:00
111,মোহাম্মদ আব্দুল ওহাব,46310,AB Party,Jamaat-NCP,Patuakhali-1,Patuakhali,Barisal,Urban,505840.0,254339.0,251493.0,8.0,2026-02-13 06:56:39.912346+00:00
111,আলতাফ হোসেন চৌধুরী,152087,BNP,BNP,Patuakhali-1,Patuakhali,Barisal,Urban,505840.0,254339.0,251493.0,8.0,2026-02-13 06:56:39.912346+00:00
176,মোঃ শাহীনুর ইসলাম,82232,Jamaat,Jamaat-NCP,Dhaka-3,Dhaka,Dhaka,Urban,362159.0,184971.0,177184.0,4.0,2026-02-13 06:56:39.912346+00:00
176,গয়েশ্বর চন্দ্র রায়,98785,BNP,BNP,Dhaka-3,Dhaka,Dhaka,Urban,362159.0,184971.0,177184.0,4.0,2026-02-13 06:56:39.912346+00:00
45,মোঃ হারুনুর রশীদ,127037,BNP,BNP,Chapai Nawabganj-3,Chapai Nawabganj,Rajshahi,Urban,468479.0,236648.0,231831.0,0.0,2026-02-13 06:56:39.912346+00:00
45,মোঃ নূরুল ইসলাম,189640,Jamaat,Jamaat-NCP,Chapai Nawabganj-3,Chapai Nawabganj,Rajshahi,Urban,468479.0,236648.0,231831.0,0.0,2026-02-13 06:56:39.912346+00:00
44,মোঃ আমিনুল ইসলাম,155119,BNP,BNP,Chapai Nawabganj-2,Chapai Nawabganj,Rajshahi,Rural,461000.0,228825.0,232174.0,1.0,2026-02-13 06:56:39.912346+00:00
44,মুঃ মিজানুর রহমান,171227,Jamaat,Jamaat-NCP,Chapai Nawabganj-2,Chapai Nawabganj,Rajshahi,Rural,461000.0,228825.0,232174.0,1.0,2026-02-13 06:56:39.912346+00:00
43,মোঃ শাহ্‌জাহান মিঞা,162515,BNP,BNP,Chapai Nawabganj-1,Chapai Nawabganj,Rajshahi,Rural,500181.0,255316.0,244865.0,0.0,2026-02-13 06:56:39.912346+00:00
43,মোঃ কেরামত আলী,206893,Jamaat,Jamaat-NCP,Chapai Nawabganj-1,Chapai Nawabganj,Rajshahi,Rural,500181.0,255316.0,244865.0,0.0,2026-02-13 06:56:39.912346+00:00
183,মোঃ জসীম উদ্দীন সরকার,77136,Jamaat,Jamaat-NCP,Dhaka-10,Dhaka,Dhaka,Urban,388660.0,204604.0,184050.0,6.0,2026-02-13 06:56:39.912346+00:00
183,শেখ রবিউল আলম,80436,BNP,BNP,Dhaka-10,Dhaka,Dhaka,Urban,388660.0,204604.0,184050.0,6.0,2026-02-13 06:56:39.912346+00:00
67,এস এম সাইফ মোস্তাফিজ,103704,NCP,Jamaat-NCP,Sirajganj-6,Sirajganj,Rajshahi,Rural,485387.0,246412.0,238972.0,3.0,2026-02-13 06:56:39.912346+00:00
67,"এম, এ, মুহিত",172114,BNP,BNP,Sirajganj-6,Sirajganj,Rajshahi,Rural,485387.0,246412.0,238972.0,3.0,2026-02-13 06:56:39.912346+00:00
66,মোঃ আলী আলম,105188,Jamaat,Jamaat-NCP,Sirajganj-5,Sirajganj,Rajshahi,Rural,426321.0,218664.0,207655.0,2.0,2026-02-13 06:56:39.912346+00:00
66,মোঃ আমিরুল ইসলাম খান,134197,BNP,BNP,Sirajganj-5,Sirajganj,Rajshahi,Rural,426321.0,218664.0,207655.0,2.0,2026-02-13 06:56:39.912346+00:00
65,"এম, আকবর আলী",161278,BNP,BNP,Sirajganj-4,Sirajganj,Rajshahi,Rural,475821.0,243680.0,232125.0,16.0,2026-02-13 06:56:39.912346+00:00
65,মোঃ রফিকুল ইসলাম খান,161872,Jamaat,Jamaat-NCP,Sirajganj-4,Sirajganj,Rajshahi,Rural,475821.0,243680.0,232125.0,16.0,2026-02-13 06:56:39.912346+00:00
64,মুহাঃ আব্দুর রউফ সরকার,116802,Bangladesh Khelafat Mojlish,Jamaat-NCP,Sirajganj-3,Sirajganj,Rajshahi,Rural,444427.0,222737.0,221683.0,7.0,2026-02-13 06:56:39.912346+00:00
64,মোঃ আয়নুল হক,174430,BNP,BNP,Sirajganj-3,Sirajganj,Rajshahi,Rural,444427.0,222737.0,221683.0,7.0,2026-02-13 06:56:39.912346+00:00
63,মুহাম্মদ জাহিদুল ইসলাম,136595,Jamaat,Jamaat-NCP,Sirajganj-2,Sirajganj,Rajshahi,Urban,469878.0,235248.0,234626.0,4.0,2026-02-13 06:56:39.912346+00:00
