,id,name,image,league,logo,party_id,seat_id,el_status,vote,center
0,921,Md. Enamul Haque,1770219451.jpg,Bangladesh Jamaat-e-Islami,1769852416.png,36,44,,14796,13
1,923,Md. Shamsuzzoha Khan,1770219513.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,44,,12850,13
2,922,Md. Matibul Islam,1770845398.,Amar Bangladesh Party (AB Party),1769855528.jpg,66,44,,,13
3,924,Abdullah Al-Mamun Saikat,1770845411.,Bangladesh Nationalist Front (BNF),1703159369.png,9,45,,,
4,925,Kalipada Sarkar,1770845420.,Bangladesh Socialist Party (BASAD),1769854432.png,48,45,,,
5,926,Nasir Bin Asgar,1770845425.,Islami Andolon Bangladesh,1769852567.png,37,45,,,
6,927,Parvez Arefin Siddiqui,1770845432.,Independent,1704551148.jpg,32,45,,,
7,928,Md. Fazle Huda,1770220750.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,45,,,
8,929,Md. Masud Rana,1770845438.,Jatiya Party (JaPa),1702196200.png,5,45,,,
9,930,Md. Mahfuzur Rahman,1770845443.,Bangladesh Jamaat-e-Islami,1769852416.png,36,45,,,
10,931,Md. Saddam Hossain,1770845486.,Independent,1704551148.jpg,32,45,,,
11,932,Ikramul Bari Tipu,1770220836.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,46,,63662,53
12,934,Md. Abdur Rakib,1770845502.,Bangladesh Jamaat-e-Islami,1769852416.png,36,46,,40685,53
13,933,Dr. S. M. Fazlur Rahman,1770845497.,Communist Party of Bangladesh,1770214086.png,47,46,,,53
14,935,Md. Altaf Hossain,1770845512.,Jatiya Party (JaPa),1702196200.png,5,46,,,53
15,936,Mosammat Arfana Begum,1770845519.,Independent,1704551148.jpg,32,46,,,53
16,937,Sohrab Hossain,1770845527.,Islami Andolon Bangladesh,1769852567.png,37,46,,,53
17,941,Md. Zahidul Islam Dhalu,1770221024.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,47,,36971,30
18,938,Abu Sadat Md. Sayem,1770220956.jpg,Bangladesh Jamaat-e-Islami,1769852416.png,36,47,,24885,30
19,939,Md. Anwar Hossain,1770845538.,Jatiya Party (JaPa),1702196200.png,5,47,,,30
20,940,Md. Abdur Rahman,1770845544.,Islami Andolon Bangladesh,1769852567.png,37,47,,,30
21,942,Shafiqul Islam,1770845555.,Communist Party of Bangladesh,1770214086.png,47,47,,,30
22,947,Sheikh Md. Rezaul Islam,1770221177.jpg,Bangladesh Nationalist Party (BNP),1769852771.webp,38,48,,25541,27
23,945,Md. Khabirul Islam,1770845578.,Bangladesh Jamaat-e-Islami,1769852416.png,36,48,,23664,27
